7;0;5
5;0;14
6;0;5
8;0;14
8;0;10;10641.005038324482
6;0;9;10641.005038324482
7;0;10;10641.005038324482
5;0;11;10641.005038324482
84;0;12;11279.64691193471
87;0;7;11279.64691193471
86;0;13;11279.64691193471
81;0;8;11279.64691193471
23;1;8;11149.51909129862
20;0;8;11149.51909129862
24;1;10;11149.51909129862
13;1;10;11149.51909129862
1053;0;12;9719.021247264247
1039;0;12;9719.021247264247
1052;0;8;9719.021247264247
1051;0;8;9719.021247264247
1139;0;10;14702.67533681443
1144;0;10;14702.67533681443
1147;0;10;14702.67533681443
1145;0;10;14702.67533681443
352;0;12;8264.207861837356
347;0;12;8264.207861837356
348;0;8;8264.207861837356
793;0;11;12221.232136099436
57;0;6;9384.361682905095
787;0;9;12221.232136099436
354;0;8;8264.207861837356
789;0;11;12221.232136099436
55;0;13;9384.361682905095
50;0;7;9384.361682905095
585;0;8;8948.481489827318
58;0;14;9384.361682905095
584;1;8;8948.481489827318
837;0;10;9807.000342523816
835;0;10;9807.000342523816
586;1;11;8948.481489827318
839;0;11;9807.000342523816
840;0;9;9807.000342523816
575;0;11;8948.481489827318
791;0;9;12221.232136099436
772;0;14;10152.722649891892
774;0;6;10152.722649891892
766;0;6;10152.722649891892
451;0;7;7797.104139205971
453;0;7;7797.104139205971
454;0;13;7797.104139205971
446;0;13;7797.104139205971
386;0;12;9722.390636876346
381;0;8;9722.390636876346
68;0;11;11149.944582119775
67;0;11;11149.944582119775
69;0;9;11149.944582119775
65;0;9;11149.944582119775
387;0;10;9722.390636876346
773;0;14;10152.722649891892
320;0;5;10977.180737646118
314;0;15;10977.180737646118
777;0;13;9648.485273733206
321;0;12;10977.180737646118
779;0;13;9648.485273733206
778;0;7;9648.485273733206
179;1;7;11323.846607567115
322;0;8;10977.180737646118
186;0;9;11323.846607567115
780;0;7;9648.485273733206
718;0;5;11319.922460173211
190;1;9;11323.846607567115
730;0;5;11319.922460173211
731;3;12;11319.922460173211
185;1;11;11323.846607567115
306;1;8;10565.619484742114
729;3;12;11319.922460173211
309;0;11;10565.619484742114
307;1;7;10565.619484742114
302;1;10;10565.619484742114
1299;0;10;8843.18278913295
1298;0;8;8843.18278913295
1300;0;9;8843.18278913295
1292;0;11;8843.18278913295
650;1;6;10407.273084927772
647;1;9;10407.273084927772
652;1;6;10407.273084927772
651;3;9;10407.273084927772
500;0;10;11089.931630326962
491;0;8;11089.931630326962
497;0;10;11089.931630326962
495;0;12;11089.931630326962
937;0;6;11047.625362538032
927;0;14;11047.625362538032
934;0;6;11047.625362538032
936;0;14;11047.625362538032
638;0;8;10436.557523607284
640;0;8;10436.557523607284
634;0;11;10436.557523607284
639;1;11;10436.557523607284
1399;0;9;10489.340923504196
1397;0;11;10489.340923504196
1395;0;9;10489.340923504196
1398;0;11;10489.340923504196
388;0;10;9722.390636876346
129;0;8;10529.858462311564
127;1;7;10529.858462311564
704;0;9;9933.728418477833
693;0;9;9933.728418477833
705;0;11;9933.728418477833
696;0;11;9933.728418477833
120;0;12;10529.858462311564
128;1;11;10529.858462311564
534;0;10;10110.692533724567
537;0;10;10110.692533724567
1003;2;8;11798.039703805782
999;1;9;11798.039703805782
